transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale,profit,month,day_of_week,hour,age_group
180,2022-05-11,10:47:00,117,Male,41.0,Clothing,3.0,300.0,129.0,900.0,513.0,5.0,Wednesday,10,36-50
522,2022-09-07,11:00:00,52,Male,46.0,Beauty,3.0,500.0,145.0,1500.0,1065.0,9.0,Wednesday,11,36-50
559,2022-12-12,10:48:00,5,Female,40.0,Clothing,4.0,300.0,84.0,1200.0,864.0,12.0,Monday,10,36-50
1180,2022-06-01,08:53:00,85,Male,41.0,Clothing,3.0,300.0,129.0,900.0,513.0,6.0,Wednesday,8,36-50
1522,,08:35:00,48,Male,46.0,Beauty,3.0,500.0,235.0,1500.0,795.0,,,8,36-50
1559,,07:40:00,49,Female,40.0,Clothing,4.0,300.0,144.0,1200.0,624.0,,,7,36-50
163,,09:38:00,144,Female,64.0,Clothing,3.0,50.0,23.0,150.0,81.0,,,9,51-65
303,,11:09:00,54,Male,19.0,Electronics,3.0,30.0,14.7,90.0,45.900000000000006,,,11,18-25
421,2022-08-04,08:43:00,66,Female,37.0,Clothing,3.0,500.0,235.0,1500.0,795.0,8.0,Thursday,8,36-50
979,,10:18:00,6,Female,19.0,Beauty,1.0,25.0,10.5,25.0,14.5,,,10,18-25
1163,2022-04-05,10:52:00,120,Female,64.0,Clothing,3.0,50.0,27.0,150.0,69.0,4.0,Tuesday,10,51-65
1303,,08:59:00,58,Male,19.0,Electronics,3.0,30.0,15.0,90.0,45.0,,,8,18-25
1421,,07:07:00,59,Female,37.0,Clothing,3.0,500.0,185.0,1500.0,945.0,,,7,36-50
1979,,11:34:00,102,Female,19.0,Beauty,1.0,25.0,7.75,25.0,17.25,,,11,18-25
610,,06:56:00,137,Female,26.0,Beauty,2.0,300.0,93.0,600.0,414.0,,,6,26-35
1610,,10:18:00,1,Female,26.0,Beauty,2.0,300.0,102.0,600.0,396.0,,,10,26-35
32,,09:11:00,150,Male,30.0,Beauty,3.0,30.0,8.4,90.0,64.8,,,9,26-35
231,2022-09-07,07:02:00,50,Female,23.0,Clothing,3.0,50.0,26.5,150.0,70.5,9.0,Wednesday,7,18-25
683,2022-06-03,10:22:00,82,Male,38.0,Beauty,2.0,500.0,175.0,1000.0,650.0,6.0,Friday,10,36-50
1032,2022-01-04,08:15:00,1,Male,30.0,Beauty,3.0,30.0,10.5,90.0,58.5,1.0,Tuesday,8,26-35
1231,,07:05:00,12,Female,23.0,Clothing,3.0,50.0,23.0,150.0,81.0,,,7,18-25
1683,2022-04-05,07:19:00,98,Male,38.0,Beauty,2.0,500.0,220.0,1000.0,560.0,4.0,Tuesday,7,36-50
367,,07:03:00,123,Female,57.0,Electronics,1.0,50.0,18.0,50.0,32.0,,,7,51-65
391,,07:37:00,68,Male,19.0,Beauty,2.0,25.0,6.25,50.0,37.5,,,7,18-25
432,2022-10-03,11:31:00,17,Female,,Electronics,2.0,500.0,190.0,1000.0,620.0,10.0,Monday,11,
1367,,11:38:00,16,Female,,Electronics,1.0,50.0,15.5,50.0,34.5,,,11,
1391,2022-01-03,11:29:00,130,Male,,Beauty,2.0,25.0,9.25,50.0,31.5,1.0,Monday,11,
1432,,06:24:00,67,Female,,Electronics,2.0,500.0,245.0,1000.0,510.0,,,6,
150,,08:25:00,89,Female,,Electronics,4.0,30.0,16.2,120.0,55.2,,,8,
845,,10:12:00,25,Male,,Clothing,1.0,500.0,145.0,500.0,355.0,,,10,
1150,,10:04:00,77,Female,,Electronics,4.0,30.0,10.2,120.0,79.2,,,10,
1845,,07:06:00,94,Male,,Clothing,1.0,500.0,185.0,500.0,315.0,,,7,
797,,06:38:00,116,Male,,Clothing,3.0,25.0,10.75,75.0,42.75,,,6,
921,,09:34:00,101,Male,,Electronics,3.0,25.0,8.0,75.0,51.0,,,9,
1797,,11:47:00,147,Male,40.0,Clothing,3.0,25.0,12.25,75.0,38.25,,,11,36-50
1921,2022-08-02,07:01:00,77,Male,51.0,Electronics,3.0,25.0,7.5,75.0,52.5,8.0,Tuesday,7,51-65
291,,08:29:00,15,Male,60.0,Clothing,2.0,300.0,126.0,600.0,348.0,,,8,51-65
907,2022-02-09,06:16:00,145,Female,45.0,Electronics,1.0,25.0,8.5,25.0,16.5,2.0,Wednesday,6,36-50
1291,2022-04-04,11:19:00,72,Male,60.0,Clothing,2.0,300.0,153.0,600.0,294.0,4.0,Monday,11,51-65
1907,,11:21:00,115,Female,45.0,Electronics,1.0,25.0,9.0,25.0,16.0,,,11,36-50
860,2022-11-04,08:58:00,85,Male,63.0,Clothing,4.0,50.0,16.0,200.0,136.0,11.0,Friday,8,51-65
1860,2022-12-03,11:21:00,57,Male,63.0,Clothing,4.0,50.0,18.0,200.0,128.0,12.0,Saturday,11,51-65
184,,06:44:00,128,Male,31.0,Electronics,4.0,50.0,17.0,200.0,132.0,,,6,26-35
734,2022-12-03,08:54:00,77,Female,27.0,Clothing,1.0,30.0,15.6,30.0,14.4,12.0,Saturday,8,26-35
1184,2022-12-02,08:28:00,23,Male,31.0,Electronics,4.0,50.0,27.5,200.0,90.0,12.0,Friday,8,26-35
1734,,08:58:00,72,Female,27.0,Clothing,1.0,30.0,14.4,30.0,15.6,,,8,26-35
225,2022-05-03,07:37:00,85,Female,57.0,Beauty,4.0,25.0,12.75,100.0,49.0,5.0,Tuesday,7,51-65
1679,,08:08:00,71,Female,18.0,Beauty,3.0,30.0,15.3,90.0,44.099999999999994,,,8,18-25
1746,,07:59:00,88,Female,33.0,Clothing,3.0,30.0,10.8,90.0,57.599999999999994,,,7,26-35
3,,07:08:00,114,Male,50.0,Electronics,1.0,30.0,8.1,30.0,21.9,,,7,36-50
464,2022-06-03,11:13:00,24,Male,38.0,Electronics,2.0,300.0,75.0,600.0,450.0,6.0,Friday,11,36-50
484,,07:52:00,135,Female,19.0,Clothing,4.0,300.0,75.0,1200.0,900.0,,,7,18-25
591,,08:38:00,94,Male,53.0,Electronics,4.0,25.0,6.5,100.0,74.0,,,8,51-65
1003,,07:59:00,80,Male,50.0,Electronics,1.0,30.0,15.9,30.0,14.1,,,7,36-50
1464,,10:06:00,80,Male,38.0,Electronics,2.0,300.0,126.0,600.0,348.0,,,10,36-50
1484,,09:29:00,22,Female,19.0,Clothing,4.0,300.0,147.0,1200.0,612.0,,,9,18-25
1591,,11:00:00,62,Male,53.0,Electronics,4.0,25.0,7.0,100.0,72.0,,,11,51-65
21,2022-11-07,07:33:00,59,Female,50.0,Beauty,1.0,500.0,275.0,500.0,225.0,11.0,Monday,7,36-50
708,2022-06-04,08:38:00,62,Female,43.0,Beauty,3.0,300.0,87.0,900.0,639.0,6.0,Saturday,8,36-50
713,,11:43:00,39,Male,34.0,Beauty,3.0,25.0,11.25,75.0,41.25,,,11,26-35
768,,06:50:00,58,Female,24.0,Beauty,3.0,25.0,10.5,75.0,43.5,,,6,18-25
1021,2022-11-06,10:19:00,44,Female,50.0,Beauty,1.0,500.0,155.0,500.0,345.0,11.0,Sunday,10,36-50
1708,2022-08-02,07:47:00,41,Female,43.0,Beauty,3.0,300.0,162.0,900.0,414.0,8.0,Tuesday,7,36-50
1713,2022-03-10,10:10:00,90,Male,34.0,Beauty,3.0,25.0,10.75,75.0,42.75,3.0,Thursday,10,26-35
1768,,09:52:00,85,Female,24.0,Beauty,3.0,25.0,8.75,75.0,48.75,,,9,18-25
499,2022-03-04,10:52:00,15,Male,46.0,Beauty,2.0,30.0,16.5,60.0,27.0,3.0,Friday,10,36-50
697,,07:52:00,152,Male,53.0,Clothing,1.0,500.0,200.0,500.0,300.0,,,7,51-65
831,,11:49:00,149,Male,27.0,Electronics,4.0,25.0,13.75,100.0,45.0,,,11,26-35
1499,,09:46:00,3,Male,46.0,Beauty,2.0,30.0,11.7,60.0,36.6,,,9,36-50
1697,,08:22:00,54,Male,53.0,Clothing,1.0,500.0,265.0,500.0,235.0,,,8,51-65
1831,,10:54:00,80,Male,27.0,Electronics,4.0,25.0,6.5,100.0,74.0,,,10,26-35
15,2022-01-07,11:50:00,75,Female,42.0,Electronics,4.0,500.0,210.0,2000.0,1160.0,1.0,Friday,11,36-50
743,2022-07-08,07:54:00,55,Female,34.0,Beauty,4.0,500.0,260.0,2000.0,960.0,7.0,Friday,7,26-35
1015,2022-09-03,11:53:00,94,Female,42.0,Electronics,4.0,500.0,200.0,2000.0,1200.0,9.0,Saturday,11,36-50
1743,,09:37:00,47,Female,34.0,Beauty,4.0,500.0,250.0,2000.0,1000.0,,,9,26-35
14,,07:11:00,8,Male,64.0,Clothing,4.0,30.0,13.2,120.0,67.2,,,7,51-65
103,2022-12-11,10:05:00,33,Female,59.0,Clothing,1.0,25.0,10.75,25.0,14.25,12.0,Sunday,10,51-65
238,2022-10-05,11:52:00,20,Female,39.0,Beauty,1.0,500.0,150.0,500.0,350.0,10.0,Wednesday,11,36-50
986,2022-01-08,09:35:00,65,Female,49.0,Clothing,2.0,500.0,200.0,1000.0,600.0,1.0,Saturday,9,36-50
1014,2022-04-02,10:26:00,147,Male,64.0,Clothing,4.0,30.0,11.4,120.0,74.4,4.0,Saturday,10,51-65
1103,,07:11:00,61,Female,59.0,Clothing,1.0,25.0,6.75,25.0,18.25,,,7,51-65
1238,,07:38:00,129,Female,39.0,Beauty,1.0,500.0,165.0,500.0,335.0,,,7,36-50
1986,,08:28:00,29,Female,49.0,Clothing,2.0,500.0,145.0,1000.0,710.0,,,8,36-50
438,,10:15:00,88,Female,42.0,Clothing,1.0,30.0,15.9,30.0,14.1,,,10,36-50
1438,2022-07-01,10:00:00,72,Female,42.0,Clothing,1.0,30.0,13.8,30.0,16.2,7.0,Friday,10,36-50
475,2022-12-08,10:39:00,78,Male,26.0,Clothing,3.0,25.0,9.0,75.0,48.0,12.0,Thursday,10,26-35
505,,07:25:00,86,Male,24.0,Beauty,1.0,50.0,19.5,50.0,30.5,,,7,18-25
1475,2022-04-10,07:03:00,132,Male,26.0,Clothing,3.0,25.0,10.75,75.0,42.75,4.0,Sunday,7,26-35
1505,,08:00:00,98,Male,24.0,Beauty,1.0,50.0,14.5,50.0,35.5,,,8,18-25
344,,09:47:00,69,Female,42.0,Beauty,1.0,30.0,7.5,30.0,22.5,,,9,36-50
448,,09:36:00,86,Female,54.0,Beauty,2.0,30.0,16.2,60.0,27.6,,,9,51-65
742,,06:08:00,37,Female,38.0,Electronics,4.0,500.0,195.0,2000.0,1220.0,,,6,36-50
1344,,06:12:00,144,Female,42.0,Beauty,1.0,30.0,11.1,30.0,18.9,,,6,36-50
1448,,06:28:00,51,Female,54.0,Beauty,2.0,30.0,9.3,60.0,41.4,,,6,51-65
1742,,08:25:00,18,Female,38.0,Electronics,4.0,500.0,220.0,2000.0,1120.0,,,8,36-50
445,,10:48:00,132,Female,53.0,Electronics,1.0,300.0,138.0,300.0,162.0,,,10,51-65
787,2022-10-06,10:42:00,25,Male,41.0,Electronics,1.0,25.0,13.75,25.0,11.25,10.0,Thursday,10,36-50
1445,,06:16:00,31,Female,53.0,Electronics,1.0,300.0,129.0,300.0,171.0,,,6,51-65
1787,,07:42:00,104,Male,41.0,Electronics,1.0,25.0,10.0,25.0,15.0,,,7,36-50
49,,10:33:00,37,Female,54.0,Electronics,2.0,500.0,255.0,1000.0,490.0,,,10,51-65
420,2022-02-01,10:53:00,28,Female,22.0,Clothing,4.0,500.0,200.0,2000.0,1200.0,2.0,Tuesday,10,18-25
519,2022-08-04,10:17:00,52,Female,36.0,Electronics,4.0,30.0,16.5,120.0,54.0,8.0,Thursday,10,36-50
1049,,06:36:00,143,Female,54.0,Electronics,2.0,500.0,125.0,1000.0,750.0,,,6,51-65
1420,,07:01:00,138,Female,22.0,Clothing,4.0,500.0,205.0,2000.0,1180.0,,,7,18-25
1519,2022-08-01,07:35:00,139,Female,36.0,Electronics,4.0,30.0,9.3,120.0,82.8,8.0,Monday,7,36-50
64,,06:34:00,7,Male,49.0,Clothing,4.0,25.0,8.5,100.0,66.0,,,6,36-50
592,,09:15:00,77,Female,46.0,Beauty,4.0,500.0,275.0,2000.0,900.0,,,9,36-50
912,,06:18:00,122,Male,51.0,Beauty,3.0,50.0,20.5,150.0,88.5,,,6,51-65
1064,,10:38:00,49,Male,49.0,Clothing,4.0,25.0,13.75,100.0,45.0,,,10,36-50
1592,,09:08:00,81,Female,46.0,Beauty,4.0,500.0,155.0,2000.0,1380.0,,,9,36-50
1912,,07:40:00,146,Male,51.0,Beauty,3.0,50.0,22.0,150.0,84.0,,,7,51-65
134,,09:03:00,132,Male,49.0,Electronics,1.0,50.0,16.0,50.0,34.0,,,9,36-50
